0.150,-1.684,-0.058,-33.711,-76.018,150.157
0.696,-1.958,-0.338,-59.176,1.677,204.424
1.506,-1.709,0.279,-56.779,18.295,167.470
1.669,-1.232,0.274,-20.978,19.952,69.035
1.301,-1.039,0.153,3.511,30.127,-4.247
0.872,-1.071,0.082,13.854,49.776,-27.301
0.977,-0.525,0.054,11.511,50.440,-48.110
0.761,-0.180,0.057,9.923,28.769,-67.110
0.480,-0.186,-0.017,6.404,11.418,-46.140
0.481,-0.270,-0.024,-2.703,5.349,-5.293
0.854,-0.235,0.064,-0.505,5.669,18.211
0.998,-0.213,0.028,2.946,4.005,14.661
0.946,-0.300,-0.039,-6.260,-11.766,10.096
1.083,-0.397,0.010,-5.650,-20.254,12.363
1.209,-0.296,-0.016,-2.260,-6.666,-1.827
1.112,-0.199,-0.005,-1.711,1.624,-15.598
0.950,-0.245,0.003,-3.153,-2.178,-8.476
1.003,-0.268,0.031,-2.184,6.257,-0.782
1.132,-0.193,0.109,1.854,11.570,-7.362
1.042,-0.162,0.047,2.434,-3.254,-19.324
0.919,-0.162,0.055,-3.825,-13.560,-17.782
0.935,-0.149,0.109,0.694,1.776,-8.140
0.951,-0.105,0.025,4.595,11.593,-0.202
0.941,-0.161,0.021,2.098,18.753,8.440
1.038,-0.201,0.100,7.854,22.639,13.050
1.102,-0.131,0.020,10.763,21.784,2.020
0.989,-0.134,-0.022,1.358,14.150,-4.156
0.914,-0.222,0.116,-0.924,10.135,1.455
1.029,-0.197,0.118,6.137,11.723,3.715
1.037,-0.124,-0.002,-3.215,4.731,-3.079
0.932,-0.173,0.135,-9.703,-7.811,-1.270
0.974,-0.247,0.157,-2.237,-6.079,8.432
1.101,-0.169,0.077,1.862,-0.010,5.661
1.047,-0.148,0.033,-1.810,-5.300,-2.125
0.940,-0.205,0.091,-3.611,-8.880,1.379
1.014,-0.204,0.106,2.068,-1.491,8.745
1.091,-0.154,0.026,2.450,4.150,5.188
1.065,-0.115,0.042,-3.054,-2.163,-1.934
0.974,-0.195,0.085,-5.115,-5.415,1.547
1.021,-0.224,0.098,-0.848,0.868,8.035
1.090,-0.186,0.053,1.869,6.410,6.127
1.071,-0.228,0.082,1.312,6.624,1.760
1.051,-0.246,0.085,3.289,4.379,-0.316
1.035,-0.227,0.068,2.129,8.089,-2.400
1.020,-0.195,0.116,1.885,9.456,-3.797
0.982,-0.202,0.104,3.343,3.250,-1.293
1.002,-0.211,0.073,1.274,-1.727,1.478
1.050,-0.191,0.076,-0.589,-4.674,-0.942
0.990,-0.207,0.093,1.770,-0.727,-1.255
0.990,-0.187,0.089,3.327,0.517,1.966

1.245,0.749,0.184,-79.947,37.876,-150.171
1.177,0.929,0.154,-67.642,41.715,-179.316
0.890,0.910,-0.079,-77.138,30.937,-197.957
0.682,0.957,0.012,-94.329,20.379,-180.461
0.513,0.930,0.145,-95.352,24.059,-141.843
0.495,0.829,0.244,-88.940,28.097,-97.499
0.644,0.803,0.371,-74.970,22.341,-63.217
0.768,0.742,0.529,-45.459,16.379,-32.499
0.784,0.617,0.475,-11.451,10.395,-2.705
0.891,0.548,0.327,10.785,8.074,15.608
1.001,0.528,0.170,18.709,8.051,13.669
1.060,0.517,0.045,10.305,-5.498,4.020
1.068,0.464,-0.009,-9.344,-23.537,-2.843
1.016,0.399,0.073,-22.115,-30.995,-3.339
0.966,0.332,0.160,-18.909,-25.124,4.195
0.996,0.277,0.158,-10.169,-15.208,14.402
1.067,0.242,0.109,-6.734,-4.789,18.325
1.059,0.167,0.228,0.572,7.700,18.127
1.039,0.135,0.298,14.358,18.326,19.256
1.045,0.115,0.247,23.389,21.097,23.852
1.073,0.108,0.180,22.152,16.219,25.218
1.108,0.087,0.203,16.160,15.448,20.837
1.118,0.077,0.236,10.343,14.868,16.394
1.100,0.042,0.250,5.427,10.815,12.661
1.075,0.029,0.256,0.098,4.295,8.287
1.041,0.021,0.312,-2.749,5.257,6.203
0.995,0.008,0.365,1.297,10.509,7.173
0.972,-0.001,0.360,6.640,10.349,9.318
1.007,0.016,0.342,6.694,9.524,7.608
1.050,0.042,0.309,2.923,6.418,1.432
1.009,0.038,0.292,-2.131,3.494,-4.774
1.004,0.060,0.276,-8.825,2.120,-8.438
1.014,0.110,0.283,-13.176,0.166,-13.247
0.980,0.114,0.276,-15.001,-0.460,-12.476
0.949,0.117,0.288,-15.245,2.372,-6.637
0.959,0.119,0.313,-12.527,5.303,-1.392
1.028,0.136,0.320,-8.222,5.998,-2.118
1.035,0.134,0.272,-8.413,1.105,-4.812
1.000,0.130,0.246,-13.680,-0.865,-4.614
0.984,0.108,0.272,-17.589,0.585,-1.179
1.026,0.120,0.306,-16.695,2.120,0.012
1.032,0.120,0.331,-12.863,2.288,-4.110
1.013,0.119,0.323,-9.810,-0.659,-6.973
1.028,0.124,0.332,-7.520,-2.842,-8.591
1.016,0.138,0.299,-4.970,-2.208,-10.041
1.006,0.141,0.286,-4.192,-2.437,-10.026
0.994,0.156,0.285,-3.497,-1.590,-9.973
0.999,0.162,0.277,-3.489,-3.231,-8.163
1.012,0.168,0.262,-3.840,-4.590,-8.255
1.012,0.166,0.250,-4.650,-4.453,-7.553

0.436,-1.295,-0.467,-150.237,-31.415,134.669
0.618,-1.809,0.298,-141.825,-48.117,159.173
1.146,-1.712,0.352,-82.169,-5.430,140.623
1.329,-1.579,0.209,-41.421,24.448,91.027
1.393,-1.142,-0.089,-31.207,25.616,38.211
1.069,-0.986,-0.019,-32.886,39.647,3.905
0.837,-0.858,0.245,-14.909,51.815,1.676
0.923,-0.749,0.090,7.686,35.127,3.119
0.994,-0.661,-0.096,0.847,34.288,-12.079
0.913,-0.508,0.194,-1.902,47.830,-32.026
0.714,-0.378,0.186,7.633,26.150,-32.759
0.655,-0.379,0.021,-7.848,0.708,-16.614
0.752,-0.457,0.217,-18.321,-7.262,-0.056
0.916,-0.429,0.308,-3.657,-4.040,1.318
0.955,-0.365,0.124,-0.344,-12.430,-7.522
0.892,-0.389,0.163,-8.779,-18.888,-8.766
0.981,-0.348,0.260,-3.131,-15.873,-7.522
0.945,-0.290,0.155,5.450,-13.598,-9.011
0.854,-0.303,0.087,1.450,-9.010,-0.881
0.954,-0.302,0.106,-0.680,-10.483,7.218
1.051,-0.282,0.078,-1.314,-6.926,3.058
1.016,-0.312,0.164,1.610,4.181,-0.202
0.945,-0.324,0.156,9.724,9.120,2.027
0.936,-0.358,0.129,11.083,15.402,9.493
1.018,-0.352,0.157,12.793,18.456,9.363
1.012,-0.370,0.162,16.556,19.608,4.020
1.014,-0.294,0.078,10.518,7.845,-1.171
0.948,-0.345,0.106,0.839,-1.109,-2.324
0.938,-0.386,0.220,4.396,1.975,2.882
0.958,-0.361,0.178,13.060,3.876,7.295
0.978,-0.392,0.066,9.999,-1.178,8.089
1.074,-0.347,0.071,3.274,-7.315,3.539
1.029,-0.366,0.100,1.824,-3.437,-3.179
0.969,-0.387,0.147,3.373,1.005,-2.644
0.968,-0.353,0.130,8.534,1.807,0.424
0.954,-0.351,0.100,8.305,6.295,5.447
1.010,-0.351,0.084,5.251,4.509,7.577
1.007,-0.361,0.104,1.648,2.685,3.356
0.986,-0.355,0.155,1.366,3.662,1.745
0.958,-0.369,0.123,2.022,1.356,4.547
1.000,-0.391,0.107,-0.673,2.166,5.592
1.017,-0.393,0.165,0.434,3.410,3.043
0.985,-0.367,0.149,3.785,5.173,-0.308
