1.454,-1.014,0.377,13.144,-102.903,-151.644
1.542,-1.167,0.023,-31.153,-166.582,-202.950
1.592,-1.568,-0.143,-131.146,-229.056,-246.186
1.500,-1.822,0.314,-222.382,-239.224,-250.537
1.333,-1.733,0.487,-242.283,-250.437,-250.537
0.809,-1.566,0.426,-243.237,-250.437,-250.537
-0.302,-1.212,1.444,-243.237,-243.941,-250.537
-1.398,-0.283,2.000,-243.237,-139.789,-239.743
-2.000,0.028,2.000,-210.650,95.753,-105.782
-2.000,-0.199,2.000,10.389,184.341,32.707
-2.000,0.382,2.000,182.022,67.807,78.791
-1.612,-0.039,2.000,252.984,34.601,130.745
-0.927,-0.647,1.273,257.030,113.189,242.234
0.005,-1.175,0.126,257.030,124.265,249.730
0.770,-1.744,-0.577,220.442,59.975,249.730
1.639,-1.784,-0.811,193.679,-6.773,249.730
2.000,-1.665,-1.218,156.495,0.517,249.730
2.000,-1.656,-1.578,74.282,70.914,225.096
2.000,-1.686,-1.238,-32.405,71.753,176.684
2.000,-1.360,-0.718,-84.985,36.440,78.264
2.000,-1.396,-0.502,-128.436,88.425,-40.110
2.000,-1.304,-0.192,-171.795,177.662,-148.278
1.114,-1.326,0.116,-218.108,201.166,-219.354
0.306,-1.223,0.922,-243.237,152.608,-230.713
0.260,-0.664,1.464,-243.237,48.372,-233.102
0.283,-0.810,2.000,-243.237,78.524,-210.163
0.494,-0.831,2.000,-226.131,154.486,-197.400
0.377,-0.902,2.000,-71.253,203.944,-209.308
0.052,-0.622,1.755,23.717,137.563,-241.224
-0.596,-0.339,1.034,-30.932,-63.040,-250.537
-0.930,-0.479,1.729,-76.062,-110.346,-220.102
-0.632,-0.436,2.000,-30.558,13.585,-113.118
-0.251,-0.100,1.734,26.144,87.173,-72.774
-0.314,-0.043,1.375,55.686,67.975,-71.049
-0.363,-0.112,0.979,54.160,42.181,-45.889
-0.199,-0.012,0.842,22.923,8.120,-25.339
-0.117,-0.069,1.068,8.755,-11.766,-10.438
-0.016,-0.127,1.136,16.381,-17.117,7.127
0.146,-0.179,1.021,21.244,-17.376,17.638
0.257,-0.212,0.965,20.198,-10.766,18.806
0.335,-0.217,0.952,20.541,-3.407,19.066
0.370,-0.222,0.891,17.434,-3.239,13.493
0.341,-0.255,0.909,9.862,-4.140,11.150
0.356,-0.269,1.010,10.801,0.914,12.562
0.386,-0.249,0.952,16.091,6.746,13.432
0.390,-0.253,0.837,10.847,-2.247,13.776
0.423,-0.268,0.839,-0.749,-9.979,15.333
0.484,-0.296,0.995,-6.520,-2.613,16.150
0.480,-0.304,1.069,-0.963,10.876,13.363
0.426,-0.327,1.036,4.961,11.769,12.585

1.295,-0.264,2.000,46.259,-150.560,125.646
1.429,-0.536,2.000,78.411,-158.712,72.699
0.956,-0.763,2.000,183.389,-156.659,0.608
0.185,-0.865,2.000,257.030,-210.865,-49.568
-0.416,-0.702,1.319,257.030,-216.346,-58.453
-0.953,-0.519,0.612,257.030,-134.392,-48.950
-1.764,-0.501,-0.285,257.030,-30.529,-23.965
-2.000,-0.537,-1.141,223.740,10.364,54.386
-2.000,-0.498,-1.319,135.083,-26.453,140.127
-1.295,-0.671,-0.888,92.488,-15.850,176.890
-0.840,-0.746,-0.642,82.602,65.425,178.035
-0.847,-0.690,-0.961,62.610,127.410,176.569
-0.874,-0.732,-1.123,-8.764,141.723,202.089
-0.389,-0.989,-0.521,-91.604,148.364,247.554
0.442,-1.017,0.341,-145.436,196.532,249.730
0.984,-0.578,1.322,-154.650,247.433,231.478
0.799,-0.371,2.000,-144.550,249.830,173.966
0.354,-0.700,2.000,-154.039,226.792,174.569
0.296,-1.149,2.000,-87.253,104.944,197.257
0.766,-0.979,2.000,27.740,-30.750,196.577
1.308,-0.602,2.000,74.801,-93.521,182.608
